CustomerID,TransactionDate,TransactionAmount,ProductCategory
C0642,2024-03-13 11:05:00,103.5,Books
C0036,2024-04-01 15:11:00,488.32,Grocery
C0186,2024-02-26 19:35:00,30.83,Sports
C0169,2024-03-12 20:56:00,108.32,Books
C0714,2024-01-04 20:24:00,479.68,Books
C0745,2024-02-26 07:55:00,18.01,Clothing
C0723,2024-03-22 03:25:00,86.89,Electronics
C0069,2024-02-02 20:39:00,432.8,Clothing
C0198,2024-01-23 16:24:00,481.55,Electronics
C0386,2024-02-22 15:09:00,148.57,Books
C0255,2024-03-09 19:03:00,14.73,Books
C0804,2024-03-17 19:19:00,31.09,Electronics
C0056,2024-03-06 01:57:00,322.48,Clothing
C0450,2024-01-01 04:44:00,371.0,Electronics
C0177,2024-01-16 19:58:00,300.5,Grocery
C0222,2024-02-26 12:09:00,491.63,Electronics
C0060,2024-01-28 21:42:00,116.17,Sports
C0364,2024-02-15 15:24:00,431.42,Clothing
C0245,2024-01-25 13:11:00,164.82,Grocery
C0216,2024-02-20 02:31:00,67.17,Books
C0643,2024-02-20 18:49:00,106.72,Clothing
C0193,2024-02-27 01:48:00,160.8,Clothing
C0653,2024-01-10 07:25:00,85.86,Electronics
C0425,2024-01-13 15:13:00,319.79,Books
C0021,2024-02-03 18:55:00,152.42,Sports
C0506,2024-03-25 23:06:00,105.18,Electronics
C0060,2024-04-03 17:59:00,258.45,Grocery
C0808,2024-01-03 18:07:00,356.04,Grocery
C0592,2024-03-08 04:35:00,212.09,Books
C0763,2024-02-05 19:18:00,64.98,Books
C0048,2024-03-07 04:27:00,322.23,Sports
C0796,2024-03-30 06:53:00,43.72,Electronics
C0831,2024-03-22 02:48:00,264.92,Electronics
C0742,2024-02-16 23:23:00,33.38,Books
C0751,2024-03-13 15:33:00,322.39,Electronics
C0741,2024-01-16 16:28:00,290.85,Grocery
C0493,2024-02-06 15:16:00,387.84,Books
C0762,2024-02-27 11:44:00,37.89,Electronics
C0063,2024-01-09 21:25:00,382.72,Electronics
C0530,2024-01-19 05:50:00,267.96,Clothing
C0074,2024-03-07 05:43:00,295.63,Books
C0161,2024-02-10 02:46:00,172.86,Sports
C0278,2024-04-04 22:51:00,392.65,Grocery
C0240,2024-02-06 04:03:00,95.54,Clothing
C0170,2024-02-25 04:51:00,133.14,Clothing
C0868,2024-01-12 09:50:00,380.41,Sports
C0532,2024-04-13 13:19:00,205.28,Grocery
C0791,2024-01-21 05:38:00,473.56,Electronics
C0691,2024-04-01 01:42:00,231.19,Clothing
C0774,2024-02-13 00:16:00,161.76,Clothing
C0653,2024-02-19 16:59:00,162.16,Electronics
C0353,2024-04-13 08:33:00,213.43,Books
C0765,2024-03-18 16:45:00,103.36,Grocery
C0732,2024-02-05 12:21:00,81.48,Clothing
C0258,2024-03-09 17:39:00,422.52,Sports
C0429,2024-02-21 03:03:00,166.88,Books
C0844,2024-01-02 22:43:00,224.23,Sports
C0115,2024-03-19 15:31:00,427.48,Sports
C0012,2024-01-30 10:44:00,352.27,Books
C0734,2024-03-06 10:13:00,463.3,Grocery
C0096,2024-01-18 06:19:00,254.59,Grocery
C0882,2024-04-03 09:27:00,386.99,Electronics
C0298,2024-02-02 00:35:00,10.81,Clothing
C0124,2024-02-01 16:05:00,248.7,Books
C0269,2024-03-30 11:09:00,166.11,Grocery
C0078,2024-02-22 03:16:00,346.84,Clothing
C0461,2024-02-04 12:27:00,106.4,Books
C0484,2024-03-21 18:42:00,155.77,Grocery
C0089,2024-03-14 12:40:00,307.66,Electronics
C0489,2024-02-17 17:21:00,290.56,Clothing
C0458,2024-02-17 01:06:00,109.3,Electronics
C0627,2024-03-16 19:16:00,413.51,Grocery
C0506,2024-02-04 02:31:00,458.77,Grocery
C0780,2024-04-13 02:04:00,18.2,Grocery
C0001,2024-03-17 03:50:00,106.98,Grocery
C0664,2024-04-09 18:09:00,308.78,Grocery
C0446,2024-03-20 20:12:00,9.12,Electronics
C0524,2024-03-15 20:07:00,136.35,Electronics
C0740,2024-04-10 18:33:00,309.44,Grocery
C0115,2024-03-23 23:38:00,271.94,Grocery
C0497,2024-01-30 12:32:00,5.56,Books
C0423,2024-01-12 18:57:00,195.89,Clothing
C0382,2024-02-06 01:17:00,370.39,Grocery
C0451,2024-01-23 02:34:00,442.74,Electronics
C0316,2024-01-26 19:27:00,491.82,Electronics
C0491,2024-03-25 03:23:00,127.73,Books
C0084,2024-03-15 12:06:00,9.17,Grocery
C0659,2024-02-25 18:09:00,131.47,Grocery
C0061,2024-01-28 20:53:00,329.78,Books
C0105,2024-02-08 08:13:00,172.97,Books
C0796,2024-04-02 19:43:00,335.91,Electronics
C0635,2024-03-19 18:08:00,462.22,Clothing
C0420,2024-02-13 02:48:00,319.18,Books
C0622,2024-02-04 12:14:00,60.19,Clothing
C0182,2024-02-09 22:30:00,310.76,Sports
C0030,2024-03-16 07:19:00,178.9,Electronics
C0662,2024-01-18 04:49:00,70.24,Books
C0618,2024-04-10 16:48:00,412.96,Sports
C0109,2024-01-24 04:58:00,441.06,Sports
C0741,2024-03-18 07:35:00,110.59,Grocery
C0046,2024-03-25 19:42:00,270.1,Electronics
C0350,2024-03-14 01:10:00,169.74,Electronics
C0448,2024-01-23 20:35:00,261.75,Books
C0447,2024-03-20 11:15:00,128.21,Electronics
C0544,2024-02-09 03:28:00,55.68,Books
C0588,2024-04-03 02:24:00,293.25,Electronics
C0863,2024-02-25 16:11:00,54.37,Sports
C0780,2024-02-03 11:43:00,230.88,Electronics
C0749,2024-03-08 10:05:00,190.36,Sports
C0869,2024-02-01 20:34:00,443.5,Electronics
C0042,2024-02-25 06:21:00,179.55,Clothing
C0856,2024-01-03 23:15:00,135.68,Electronics
C0695,2024-01-29 17:26:00,300.42,Electronics
C0828,2024-03-04 18:19:00,13.13,Clothing
C0860,2024-01-04 00:41:00,427.87,Grocery
C0230,2024-03-27 09:27:00,31.97,Grocery
C0536,2024-03-16 17:35:00,451.19,Clothing
C0299,2024-04-10 22:09:00,266.3,Books
C0348,2024-04-08 13:18:00,254.29,Electronics
C0166,2024-01-04 07:52:00,341.62,Electronics
C0161,2024-01-04 22:14:00,352.82,Electronics
C0392,2024-02-18 00:20:00,210.25,Clothing
C0285,2024-03-14 05:01:00,208.06,Electronics
C0188,2024-03-16 00:12:00,344.14,Clothing
C0326,2024-03-11 15:38:00,244.93,Sports
C0424,2024-03-14 02:21:00,316.15,Electronics
C0824,2024-03-17 16:56:00,180.67,Books
C0185,2024-01-22 13:40:00,283.83,Books
C0377,2024-02-10 11:17:00,419.24,Sports
C0689,2024-02-25 04:11:00,208.07,Electronics
C0335,2024-01-13 08:36:00,196.72,Sports
C0035,2024-04-13 03:29:00,136.25,Books
C0356,2024-02-11 18:32:00,287.86,Clothing
C0565,2024-02-11 07:16:00,444.95,Sports
C0673,2024-01-29 07:14:00,18.04,Grocery
C0745,2024-02-14 15:21:00,220.33,Grocery
C0796,2024-03-27 11:21:00,372.07,Books
C0321,2024-03-28 14:08:00,240.98,Grocery
C0591,2024-04-12 18:30:00,474.33,Books
C0362,2024-02-09 13:24:00,165.49,Books
C0315,2024-02-21 08:33:00,381.51,Grocery
C0377,2024-01-31 03:31:00,332.79,Grocery
C0741,2024-03-14 20:54:00,247.71,Sports
C0476,2024-03-10 05:45:00,48.26,Sports
C0658,2024-03-21 08:52:00,308.69,Books
C0014,2024-04-08 18:15:00,145.25,Books
C0241,2024-01-31 07:43:00,404.66,Clothing
C0696,2024-03-18 22:36:00,54.18,Books
C0538,2024-03-06 23:46:00,223.77,Books
C0883,2024-02-20 15:49:00,226.42,Electronics
C0395,2024-03-13 00:49:00,326.13,Books
C0160,2024-02-17 15:51:00,26.08,Electronics
C0504,2024-04-06 04:07:00,320.89,Electronics
C0535,2024-03-18 08:13:00,26.55,Clothing
C0651,2024-02-29 23:45:00,134.65,Electronics
C0621,2024-03-26 02:21:00,271.49,Grocery
C0354,2024-01-04 06:15:00,467.26,Clothing
C0885,2024-03-04 16:23:00,380.47,Electronics
C0243,2024-02-27 09:05:00,306.37,Grocery
C0039,2024-01-07 13:48:00,391.31,Grocery
C0761,2024-02-02 07:45:00,37.38,Sports
C0403,2024-01-27 06:34:00,125.48,Sports
C0590,2024-03-25 14:17:00,410.51,Clothing
C0732,2024-01-23 05:58:00,339.36,Clothing
C0190,2024-03-01 08:43:00,192.28,Clothing
C0255,2024-01-27 14:34:00,315.63,Electronics
C0131,2024-01-07 19:47:00,35.88,Books
C0040,2024-03-09 02:01:00,148.01,Clothing
C0739,2024-02-24 05:04:00,353.89,Grocery
C0644,2024-01-24 15:51:00,187.56,Electronics
C0592,2024-02-25 08:30:00,261.62,Clothing
C0256,2024-01-11 08:05:00,290.34,Clothing
C0095,2024-03-05 23:44:00,352.83,Books
C0158,2024-03-22 20:14:00,32.71,Books
C0843,2024-04-05 08:32:00,288.25,Sports
C0547,2024-03-12 06:13:00,452.5,Grocery
C0219,2024-01-22 14:03:00,5.04,Clothing
C0418,2024-01-31 19:41:00,13.98,Clothing
C0140,2024-01-18 03:15:00,497.12,Clothing
C0863,2024-02-17 17:38:00,193.55,Books
C0839,2024-04-05 06:34:00,271.58,Electronics
C0656,2024-03-25 19:24:00,182.06,Sports
C0128,2024-04-11 13:24:00,430.47,Sports
C0224,2024-04-03 17:48:00,233.65,Sports
C0068,2024-02-17 15:45:00,168.99,Books
C0204,2024-01-15 23:56:00,389.69,Books
