transaction_id,amount,category,customer_age
1,574.51,Travel,59
2,479.26,Shopping,19
3,597.15,Travel,20
4,728.45,Bills,40
5,464.88,Shopping,29
6,464.88,Bills,37
7,736.88,Food,22
8,615.12,Travel,54
9,429.58,Food,55
10,581.38,Food,47
11,430.49,Food,26
12,430.14,Food,51
13,536.29,Travel,61
14,213.01,Food,52
15,241.26,Travel,39
16,415.66,Travel,61
17,348.08,Bills,41
18,547.14,Shopping,34
19,363.8,Shopping,27
20,288.15,Travel,47
21,719.85,Bills,63
22,466.13,Travel,40
23,510.13,Travel,49
24,286.29,Travel,34
25,418.34,Bills,34
26,516.64,Shopping,31
27,327.35,Bills,26
28,556.35,Food,57
29,409.9,Bills,19
30,456.25,Bills,62
31,409.74,Bills,42
32,777.84,Bills,56
33,497.98,Shopping,26
34,341.34,Food,39
35,623.38,Shopping,60
36,316.87,Shopping,63
37,531.33,Bills,21
38,206.05,Travel,43
39,300.77,Travel,46
40,529.53,Shopping,62
41,610.77,Shopping,51
42,525.71,Bills,40
43,482.65,Shopping,54
44,454.83,Bills,28
45,278.22,Travel,23
46,392.02,Travel,35
47,430.9,Food,38
48,658.57,Travel,59
49,551.54,Shopping,53
50,235.54,Travel,58
51,548.61,Bills,55
52,442.24,Travel,51
53,398.46,Food,34
54,591.75,Travel,54
55,654.65,Bills,42
56,639.69,Bills,55
57,374.12,Shopping,29
58,453.62,Travel,40
59,549.69,Bills,59
60,646.33,Food,39
61,428.12,Shopping,38
62,472.15,Food,44
63,334.05,Travel,48
64,320.57,Travel,23
65,621.88,Travel,44
66,703.44,Shopping,57
67,489.2,Bills,51
68,650.53,Shopping,29
69,554.25,Food,62
70,403.23,Shopping,24
71,554.21,Food,27
72,730.71,Shopping,62
73,494.63,Bills,34
74,734.7,Food,43
75,107.04,Travel,38
76,623.29,Travel,45
77,513.06,Shopping,63
78,455.15,Travel,19
79,513.76,Food,60
80,201.86,Travel,18
81,467.05,Bills,53
82,553.57,Bills,43
83,721.68,Shopping,46
84,422.26,Food,38
85,378.73,Bills,28
86,424.74,Bills,57
87,637.31,Food,28
88,549.31,Travel,53
89,420.54,Travel,56
90,576.99,Shopping,57
91,514.56,Travel,52
92,645.3,Food,51
93,394.69,Bills,64
94,450.85,Travel,41
95,441.18,Shopping,39
96,280.47,Travel,22
97,544.42,Food,50
98,539.16,Shopping,53
99,500.77,Travel,64
100,464.81,Shopping,37
101,287.69,Food,36
102,436.9,Bills,52
103,448.59,Food,60
104,379.66,Food,34
105,475.81,Food,62
106,560.61,Food,60
107,782.93,Bills,51
108,526.19,Bills,26
109,538.63,Shopping,43
110,488.83,Travel,19
111,212.18,Bills,26
112,496.02,Bills,26
113,509.03,Travel,57
114,869.49,Bills,34
115,471.15,Food,18
116,545.23,Food,42
117,494.79,Travel,60
118,324.7,Shopping,57
119,671.42,Shopping,59
120,612.79,Travel,42
121,618.65,Travel,56
122,363.59,Food,52
123,710.42,Shopping,20
124,289.72,Bills,54
125,588.03,Food,61
126,828.57,Travel,61
127,351.42,Shopping,47
128,415.06,Bills,55
