CustomerID,TransactionDate,TransactionAmount,ProductCategory
C0103,2024-01-27 14:00:00,2549.56,Sports
C0436,2024-01-03 07:00:00,4983.5,Books
C0349,2024-01-22 21:00:00,4070.78,Books
C0271,2024-06-20 19:00:00,3078.02,Electronics
C0107,2024-03-29 13:00:00,1534.74,Grocery
C0072,2024-05-16 23:00:00,3121.36,Clothing
C0189,2024-01-16 04:00:00,2637.57,Clothing
C0021,2024-03-09 14:00:00,2133.29,Grocery
C0103,2024-02-08 06:00:00,657.9,Clothing
C0122,2024-04-26 13:00:00,4433.59,Electronics
C0467,2024-03-04 19:00:00,2251.67,Electronics
C0215,2024-05-19 09:00:00,977.14,Grocery
C0331,2024-03-20 10:00:00,1841.96,Clothing
C0459,2024-05-08 14:00:00,2073.58,Electronics
C0088,2024-03-27 11:00:00,4138.55,Electronics
C0373,2024-01-30 17:00:00,3669.4,Sports
C0100,2024-02-14 06:00:00,3847.68,Sports
C0360,2024-03-23 08:00:00,60.1,Electronics
C0152,2024-02-24 00:00:00,2083.69,Grocery
C0131,2024-01-06 05:00:00,2409.31,Books
C0150,2024-05-29 20:00:00,100.87,Books
C0309,2024-05-16 19:00:00,1302.77,Electronics
C0258,2024-03-07 19:00:00,3802.65,Electronics
C0344,2024-01-03 18:00:00,689.86,Electronics
C0492,2024-01-10 16:00:00,2678.87,Grocery
C0414,2024-03-30 20:00:00,1079.93,Sports
C0294,2024-02-18 17:00:00,65.54,Electronics
C0386,2024-03-30 22:00:00,1209.8,Electronics
C0192,2024-06-24 06:00:00,4879.49,Clothing
C0444,2024-03-03 05:00:00,4008.68,Grocery
C0277,2024-06-15 23:00:00,4798.09,Electronics
C0161,2024-04-13 00:00:00,2441.83,Clothing
C0460,2024-04-20 20:00:00,553.13,Books
C0314,2024-04-24 03:00:00,2742.06,Electronics
C0022,2024-03-14 09:00:00,2274.61,Electronics
C0253,2024-05-26 10:00:00,4222.56,Clothing
C0236,2024-03-23 07:00:00,494.92,Grocery
C0345,2024-04-08 10:00:00,2443.76,Electronics
C0049,2024-02-06 12:00:00,754.49,Books
C0475,2024-06-07 20:00:00,1626.76,Electronics
C0059,2024-05-23 16:00:00,3688.1,Books
C0170,2024-02-24 16:00:00,2382.71,Sports
C0476,2024-03-01 20:00:00,1882.56,Sports
C0188,2024-04-22 21:00:00,1975.41,Books
C0464,2024-04-06 20:00:00,2299.94,Grocery
C0271,2024-03-13 05:00:00,3926.16,Electronics
C0190,2024-03-07 21:00:00,4460.96,Electronics
C0446,2024-04-16 19:00:00,4776.9,Sports
C0175,2024-05-22 13:00:00,3935.58,Books
C0446,2024-05-26 13:00:00,1580.46,Electronics
C0051,2024-04-09 21:00:00,3442.23,Electronics
C0364,2024-06-04 15:00:00,2190.83,Grocery
C0055,2024-04-29 14:00:00,1277.08,Clothing
C0244,2024-02-18 08:00:00,4205.15,Sports
C0320,2024-01-11 02:00:00,196.94,Sports
C0131,2024-04-17 22:00:00,4509.3,Clothing
C0485,2024-02-14 07:00:00,2310.08,Electronics
C0307,2024-06-29 04:00:00,3187.82,Grocery
C0135,2024-04-18 03:00:00,3298.47,Grocery
C0021,2024-02-08 07:00:00,4476.11,Sports
C0329,2024-01-01 05:00:00,3185.17,Grocery
C0167,2024-01-20 11:00:00,3071.6,Clothing
C0274,2024-06-22 18:00:00,337.93,Electronics
C0388,2024-01-01 03:00:00,2594.45,Clothing
C0089,2024-01-27 21:00:00,755.09,Books
C0316,2024-01-05 21:00:00,3688.48,Sports
C0014,2024-05-02 00:00:00,2563.55,Grocery
C0242,2024-04-16 07:00:00,3402.74,Books
C0265,2024-06-27 17:00:00,213.16,Grocery
C0346,2024-02-05 06:00:00,428.54,Electronics
C0053,2024-04-25 02:00:00,3583.04,Electronics
C0386,2024-02-17 13:00:00,365.06,Electronics
C0340,2024-03-16 10:00:00,360.93,Grocery
C0092,2024-01-31 03:00:00,65.48,Books
C0367,2024-01-10 08:00:00,4782.72,Electronics
C0444,2024-06-24 08:00:00,3688.85,Books
C0455,2024-03-26 08:00:00,1769.49,Grocery
C0428,2024-03-06 13:00:00,1486.2,Books
C0264,2024-03-17 04:00:00,1751.77,Grocery
C0431,2024-03-20 21:00:00,3874.39,Grocery
C0035,2024-06-25 10:00:00,3308.55,Sports
C0206,2024-03-25 10:00:00,930.05,Grocery
C0081,2024-06-05 00:00:00,874.68,Grocery
C0420,2024-02-07 13:00:00,496.49,Clothing
C0050,2024-03-25 23:00:00,3303.21,Electronics
C0360,2024-01-01 09:00:00,3823.04,Sports
C0388,2024-01-11 20:00:00,1328.91,Sports
C0002,2024-03-10 17:00:00,109.62,Sports
C0390,2024-04-02 11:00:00,415.45,Clothing
C0054,2024-03-26 20:00:00,4839.46,Grocery
C0106,2024-06-03 17:00:00,1480.75,Electronics
C0260,2024-03-08 11:00:00,3847.27,Books
C0310,2024-01-14 08:00:00,3125.19,Grocery
C0477,2024-02-25 22:00:00,1912.79,Clothing
C0191,2024-04-09 00:00:00,1032.41,Grocery
C0402,2024-04-28 00:00:00,611.33,Grocery
C0218,2024-04-27 16:00:00,3076.99,Clothing
C0044,2024-03-24 02:00:00,3874.3,Sports
C0162,2024-05-03 06:00:00,3221.3,Sports
C0202,2024-03-25 22:00:00,2653.86,Electronics
C0446,2024-05-25 10:00:00,214.55,Electronics
C0484,2024-06-02 05:00:00,4842.6,Sports
C0270,2024-02-16 14:00:00,3994.58,Books
C0351,2024-03-07 20:00:00,1467.65,Grocery
C0304,2024-06-16 19:00:00,4899.95,Books
C0271,2024-01-10 19:00:00,3011.4,Grocery
